viajes,max_temperature_c,mean_temperature_c,min_temperature_c,max_dew_point_c,mean_dew_point_c,min_dew_point_c,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_cm,mean_sea_level_pressure_cm,min_sea_level_pressure_cm,max_visibility_km,mean_visibility_km,min_visibility_km,max_wind_Speed_kmh,mean_wind_speed_kmh,max_gust_speed_kmh,precipitation_cm,cloud_cover,wind_dir_degrees,Fog,Fog-Rain,Normal,Rain,Rain-Thunderstorm,date,business_day,holiday,year,month,weekday
748,23.3333333333,20.0,16.1111111111,16.1111111111,14.4444444444,13.3333333333,93.0,75.0,57.0,76.3778,76.2508,76.1238,16.0934,16.0934,16.0934,37.01482,17.70274,28.0,0.0,4.0,286.0,0,0,1,0,0,2013-08-29,1,0,2013,8,3
714,25.5555555556,20.5555555556,15.5555555556,16.1111111111,14.4444444444,13.3333333333,90.0,70.0,50.0,76.327,76.2,76.0222,16.0934,16.0934,11.26538,46.67086,20.92142,35.0,0.0,2.0,291.0,0,0,1,0,0,2013-08-30,1,0,2013,8,4
640,21.6666666667,17.7777777778,13.8888888889,13.8888888889,13.3333333333,12.2222222222,93.0,75.0,57.0,76.2,76.0984,75.9968,16.0934,16.0934,16.0934,41.84284,24.1401,31.0,0.0,4.0,284.0,0,0,1,0,0,2013-08-31,0,0,2013,8,5
706,23.3333333333,18.8888888889,14.4444444444,15.5555555556,13.3333333333,11.6666666667,87.0,68.0,49.0,76.0984,76.0222,75.9714,16.0934,16.0934,16.0934,40.2335,20.92142,29.0,0.0,4.0,284.0,0,0,1,0,0,2013-09-01,0,0,2013,9,6
661,23.8888888889,20.5555555556,16.6666666667,16.1111111111,15.5555555556,14.4444444444,93.0,77.0,61.0,76.1238,76.0476,75.946,16.0934,16.0934,9.65604,37.01482,19.31208,30.0,0.0,6.0,277.0,0,0,1,0,0,2013-09-02,0,1,2013,9,0
597,22.7777777778,19.4444444444,15.5555555556,15.0,13.3333333333,10.5555555556,84.0,65.0,46.0,76.2508,76.1492,76.073,16.0934,16.0934,16.0934,38.62416,24.1401,31.0,0.0,2.0,276.0,0,0,1,0,0,2013-09-03,1,0,2013,9,1
606,23.3333333333,20.0,16.1111111111,15.0,13.8888888889,13.3333333333,90.0,72.0,53.0,76.327,76.2254,76.1238,16.0934,16.0934,16.0934,46.67086,30.57746,35.0,0.0,4.0,269.0,0,0,1,0,0,2013-09-04,1,0,2013,9,2
677,22.2222222222,18.8888888889,15.5555555556,13.8888888889,13.3333333333,12.2222222222,90.0,74.0,57.0,76.3016,76.2,76.1238,16.0934,16.0934,16.0934,49.88954,33.79614,37.0,0.0,3.0,270.0,0,0,1,0,0,2013-09-05,1,0,2013,9,3
814,29.4444444444,21.6666666667,13.3333333333,13.8888888889,10.5555555556,7.22222222222,86.0,58.0,29.0,76.2,75.9968,75.7682,16.0934,16.0934,16.0934,38.62416,12.87472,28.0,0.0,0.0,287.0,0,0,1,0,0,2013-09-06,1,0,2013,9,4
796,31.1111111111,22.7777777778,14.4444444444,17.7777777778,12.2222222222,7.77777777778,86.0,59.0,31.0,75.8952,75.819,75.7174,16.0934,16.0934,16.0934,33.79614,12.87472,25.0,0.0,1.0,305.0,0,0,1,0,0,2013-09-07,0,0,2013,9,5
704,23.3333333333,18.3333333333,13.3333333333,14.4444444444,12.2222222222,11.1111111111,86.0,70.0,53.0,75.8952,75.7682,75.5904,16.0934,16.0934,16.0934,41.84284,17.70274,31.0,0.0,2.0,299.0,0,0,1,0,0,2013-09-08,0,0,2013,9,6
769,24.4444444444,18.8888888889,12.7777777778,14.4444444444,12.7777777778,11.1111111111,90.0,70.0,50.0,75.7428,75.6158,75.4888,16.0934,16.0934,16.0934,41.84284,17.70274,30.0,0.0,1.0,303.0,0,0,1,0,0,2013-09-09,1,0,2013,9,0
892,23.3333333333,18.8888888889,13.8888888889,15.0,13.3333333333,12.2222222222,93.0,73.0,53.0,75.9714,75.7428,75.5904,16.0934,16.0934,16.0934,27.35878,12.87472,21.0,0.0,1.0,230.0,0,0,1,0,0,2013-09-10,1,0,2013,9,1
880,23.3333333333,20.0,16.6666666667,13.8888888889,12.7777777778,12.2222222222,78.0,68.0,57.0,76.2,76.1238,75.9714,16.0934,16.0934,16.0934,28.96812,14.48406,23.0,0.0,5.0,219.0,0,0,1,0,0,2013-09-11,1,0,2013,9,2
942,21.6666666667,18.3333333333,15.0,14.4444444444,13.8888888889,12.7777777778,84.0,73.0,61.0,76.1746,76.073,75.9714,16.0934,16.0934,14.48406,40.2335,17.70274,30.0,0.0,7.0,268.0,1,0,0,0,0,2013-09-12,1,0,2013,9,3
981,18.8888888889,16.6666666667,13.8888888889,12.7777777778,12.2222222222,12.2222222222,93.0,80.0,67.0,75.9968,75.8698,75.692,16.0934,16.0934,11.26538,48.2802,24.1401,37.0,0.0,6.0,271.0,0,0,1,0,0,2013-09-13,1,0,2013,9,4
702,18.8888888889,16.6666666667,13.8888888889,12.7777777778,12.2222222222,11.6666666667,87.0,77.0,67.0,75.8444,75.7174,75.6158,16.0934,16.0934,14.48406,40.2335,25.74944,33.0,0.0,7.0,265.0,0,0,1,0,0,2013-09-14,0,0,2013,9,5
624,22.7777777778,18.8888888889,14.4444444444,15.0,12.7777777778,11.1111111111,90.0,72.0,53.0,75.8952,75.819,75.7174,16.0934,16.0934,9.65604,37.01482,20.92142,26.0,0.0,5.0,276.0,0,0,1,0,0,2013-09-15,0,0,2013,9,6
914,21.6666666667,18.3333333333,15.0,14.4444444444,12.7777777778,11.6666666667,90.0,74.0,57.0,75.9714,75.8698,75.7174,16.0934,16.0934,9.65604,49.88954,25.74944,39.0,0.0,3.0,274.0,0,0,1,0,0,2013-09-16,1,0,2013,9,0
1073,20.0,17.2222222222,13.8888888889,12.7777777778,11.6666666667,10.0,86.0,72.0,58.0,75.9714,75.8698,75.7936,16.0934,16.0934,16.0934,62.76426,35.40548,51.0,0.0,3.0,270.0,0,0,1,0,0,2013-09-17,1,0,2013,9,1
1110,25.5555555556,18.8888888889,12.2222222222,12.7777777778,9.44444444444,8.33333333333,78.0,60.0,41.0,75.9968,75.8952,75.819,16.0934,16.0934,16.0934,40.2335,16.0934,30.0,0.0,1.0,278.0,0,0,1,0,0,2013-09-18,1,0,2013,9,2
1044,26.6666666667,19.4444444444,12.2222222222,13.3333333333,10.0,7.77777777778,77.0,58.0,38.0,75.8698,75.7428,75.5904,16.0934,16.0934,16.0934,41.84284,16.0934,33.0,0.0,0.0,297.0,0,0,1,0,0,2013-09-19,1,0,2013,9,3
1102,22.7777777778,18.3333333333,13.3333333333,15.0,13.3333333333,10.0,87.0,70.0,53.0,75.8952,75.7936,75.6666,16.0934,16.0934,14.48406,27.35878,16.0934,23.0,0.0,6.0,248.0,0,0,1,0,0,2013-09-20,1,0,2013,9,4
388,20.0,17.2222222222,14.4444444444,15.0,13.3333333333,11.6666666667,90.0,75.0,59.0,75.9714,75.819,75.7428,16.0934,14.48406,3.21868,38.62416,19.31208,28.0,0.5842,6.0,218.0,0,0,0,1,0,2013-09-21,0,0,2013,9,5
584,21.1111111111,17.2222222222,12.7777777778,12.7777777778,11.6666666667,9.44444444444,93.0,70.0,47.0,76.2508,76.1238,75.9968,16.0934,16.0934,16.0934,46.67086,16.0934,35.0,0.0,1.0,292.0,0,0,1,0,0,2013-09-22,0,0,2013,9,6
1050,25.5555555556,20.0,13.8888888889,14.4444444444,12.2222222222,10.0,78.0,64.0,50.0,76.2762,76.1746,76.073,16.0934,16.0934,16.0934,38.62416,14.48406,30.0,0.0,0.0,294.0,0,0,1,0,0,2013-09-23,1,0,2013,9,0
1075,21.6666666667,18.3333333333,14.4444444444,12.2222222222,11.1111111111,10.0,78.0,66.0,53.0,76.2254,76.1238,76.0222,16.0934,16.0934,16.0934,57.93624,30.57746,43.0,0.0,1.0,277.0,0,0,1,0,0,2013-09-24,1,0,2013,9,1
1264,19.4444444444,16.6666666667,13.3333333333,10.5555555556,8.33333333333,7.22222222222,83.0,64.0,45.0,76.073,75.9714,75.7936,16.0934,16.0934,16.0934,56.3269,32.1868,45.0,0.0,1.0,281.0,0,0,1,0,0,2013-09-25,1,0,2013,9,2
1082,21.6666666667,16.6666666667,11.6666666667,7.77777777778,6.11111111111,3.33333333333,72.0,53.0,33.0,76.1746,75.9968,75.819,16.0934,16.0934,16.0934,38.62416,17.70274,29.0,0.0,0.0,281.0,0,0,1,0,0,2013-09-26,1,0,2013,9,3
1101,25.5555555556,18.8888888889,12.2222222222,8.33333333333,5.0,1.11111111111,67.0,46.0,25.0,76.4794,76.3524,76.2,16.0934,16.0934,16.0934,37.01482,11.26538,28.0,0.0,0.0,279.0,0,0,1,0,0,2013-09-27,1,0,2013,9,4
612,25.5555555556,18.8888888889,11.6666666667,12.7777777778,8.88888888889,3.33333333333,84.0,60.0,35.0,76.454,76.3524,76.2508,16.0934,16.0934,16.0934,45.06152,14.48406,32.0,0.0,1.0,296.0,0,0,1,0,0,2013-09-28,0,0,2013,9,5
517,23.8888888889,18.8888888889,13.8888888889,15.0,13.3333333333,11.6666666667,87.0,70.0,53.0,76.4794,76.4286,76.3524,16.0934,16.0934,16.0934,25.74944,11.26538,21.0,0.0,3.0,253.0,0,0,1,0,0,2013-09-29,0,0,2013,9,6
976,22.7777777778,18.8888888889,15.0,15.5555555556,13.8888888889,6.11111111111,87.0,69.0,51.0,76.3778,76.2762,76.1492,16.0934,16.0934,16.0934,35.40548,16.0934,26.0,0.0,4.0,264.0,1,0,0,0,0,2013-09-30,1,0,2013,9,0
1072,20.5555555556,17.2222222222,13.3333333333,10.0,8.88888888889,7.77777777778,77.0,61.0,45.0,76.2762,76.1492,76.0476,16.0934,16.0934,16.0934,35.40548,20.92142,26.0,0.0,3.0,273.0,0,0,1,0,0,2013-10-01,1,0,2013,10,1
1061,20.5555555556,16.6666666667,12.2222222222,9.44444444444,7.77777777778,6.66666666667,77.0,61.0,45.0,76.2508,76.1492,76.0476,16.0934,16.0934,16.0934,46.67086,22.53076,35.0,0.0,2.0,280.0,0,0,1,0,0,2013-10-02,1,0,2013,10,2
1158,21.1111111111,16.6666666667,12.2222222222,6.66666666667,5.0,1.66666666667,66.0,47.0,28.0,76.4286,76.2508,76.0984,16.0934,16.0934,16.0934,40.2335,20.92142,30.0,0.0,0.0,294.0,0,0,1,0,0,2013-10-03,1,0,2013,10,3
1088,24.4444444444,20.5555555556,16.1111111111,10.5555555556,5.55555555556,-2.22222222222,53.0,38.0,22.0,76.454,76.327,76.1492,16.0934,16.0934,16.0934,35.40548,14.48406,25.0,0.0,0.0,13.0,0,0,1,0,0,2013-10-04,1,0,2013,10,4
716,26.6666666667,20.5555555556,13.8888888889,11.1111111111,2.22222222222,-4.44444444444,56.0,36.0,15.0,76.708,76.5556,76.454,16.0934,16.0934,16.0934,19.31208,8.0467,13.0,0.0,0.0,122.0,0,0,1,0,0,2013-10-05,0,0,2013,10,5
606,28.3333333333,21.1111111111,13.3333333333,11.1111111111,6.66666666667,-2.77777777778,66.0,40.0,13.0,76.5302,76.3778,76.2,16.0934,16.0934,16.0934,22.53076,8.0467,15.0,0.0254,4.0,345.0,0,0,1,0,0,2013-10-06,0,0,2013,10,6
964,26.6666666667,20.0,13.3333333333,9.44444444444,5.0,-0.555555555556,72.0,46.0,19.0,76.2,76.073,75.9206,16.0934,16.0934,16.0934,45.06152,14.48406,31.0,0.0,3.0,295.0,0,0,1,0,0,2013-10-07,1,0,2013,10,0
1018,22.2222222222,16.6666666667,11.1111111111,10.0,8.33333333333,6.66666666667,77.0,59.0,41.0,75.9968,75.7936,75.5396,16.0934,16.0934,16.0934,32.1868,16.0934,24.0,0.0,2.0,278.0,0,0,1,0,0,2013-10-08,1,0,2013,10,1
1069,20.0,15.5555555556,11.1111111111,8.88888888889,7.22222222222,3.88888888889,83.0,60.0,37.0,75.6158,75.4126,75.2856,16.0934,16.0934,16.0934,27.35878,12.87472,21.0,0.0,2.0,286.0,0,0,1,0,0,2013-10-09,1,0,2013,10,2
1086,21.1111111111,16.6666666667,11.6666666667,11.1111111111,8.33333333333,6.11111111111,77.0,61.0,45.0,76.2508,75.9714,75.6158,16.0934,16.0934,16.0934,20.92142,8.0467,15.0,0.0,1.0,302.0,0,0,1,0,0,2013-10-10,1,0,2013,10,3
1014,17.2222222222,13.8888888889,10.5555555556,9.44444444444,8.33333333333,7.22222222222,83.0,70.0,56.0,76.4286,76.3016,76.2,16.0934,16.0934,16.0934,40.2335,14.48406,30.0,0.0,4.0,275.0,0,0,1,0,0,2013-10-11,1,0,2013,10,4
665,17.7777777778,13.3333333333,8.33333333333,10.0,7.77777777778,5.55555555556,89.0,71.0,53.0,76.2508,76.1492,75.9714,16.0934,12.87472,0.0,51.49888,20.92142,40.0,0.0,3.0,252.0,1,0,0,0,0,2013-10-12,0,0,2013,10,5
572,22.7777777778,16.6666666667,10.5555555556,10.5555555556,8.33333333333,4.44444444444,89.0,60.0,31.0,76.3778,76.2254,76.0476,16.0934,16.0934,16.0934,35.40548,11.26538,26.0,0.0,1.0,286.0,0,0,1,0,0,2013-10-13,0,0,2013,10,6
1050,25.0,17.7777777778,10.5555555556,10.0,5.0,2.22222222222,71.0,49.0,27.0,76.5048,76.3524,76.2254,16.0934,16.0934,16.0934,28.96812,8.0467,23.0,0.0,0.0,272.0,0,0,1,0,0,2013-10-14,0,1,2013,10,0
1173,26.6666666667,19.4444444444,11.6666666667,10.0,2.77777777778,-0.555555555556,61.0,40.0,18.0,76.327,76.2254,76.0984,16.0934,16.0934,16.0934,33.79614,8.0467,22.0,0.0,0.0,294.0,0,0,1,0,0,2013-10-15,1,0,2013,10,1
1165,26.6666666667,19.4444444444,11.6666666667,12.2222222222,5.55555555556,0.0,63.0,41.0,19.0,76.4286,76.327,76.2,16.0934,16.0934,16.0934,20.92142,6.43736,14.0,0.0,1.0,305.0,0,0,1,0,0,2013-10-16,1,0,2013,10,2
1227,27.2222222222,20.0,12.2222222222,11.6666666667,7.22222222222,1.66666666667,72.0,56.0,39.0,76.4286,76.2762,76.1238,16.0934,16.0934,16.0934,32.1868,11.26538,24.0,0.0,0.0,306.0,0,0,1,0,0,2013-10-17,1,0,2013,10,3
1103,20.0,15.5555555556,10.5555555556,11.1111111111,8.88888888889,7.77777777778,83.0,66.0,48.0,76.3524,76.2508,76.1746,16.0934,16.0934,16.0934,37.01482,16.0934,25.0,0.0,1.0,294.0,0,0,1,0,0,2013-10-18,1,0,2013,10,4
635,23.3333333333,16.6666666667,9.44444444444,11.1111111111,8.88888888889,7.22222222222,86.0,65.0,44.0,76.4286,76.3016,76.2,16.0934,16.0934,16.0934,33.79614,14.48406,23.0,0.0,0.0,301.0,0,0,1,0,0,2013-10-19,0,0,2013,10,5
452,17.7777777778,13.8888888889,9.44444444444,11.1111111111,8.33333333333,7.22222222222,93.0,77.0,60.0,76.2762,76.1746,75.9968,16.0934,12.87472,0.0,35.40548,17.70274,26.0,0.0,2.0,290.0,1,0,0,0,0,2013-10-20,0,0,2013,10,6
1015,16.1111111111,12.7777777778,8.88888888889,10.0,8.33333333333,7.22222222222,93.0,80.0,67.0,76.2762,76.1492,76.0222,16.0934,16.0934,11.26538,33.79614,14.48406,25.0,0.0,3.0,284.0,0,0,1,0,0,2013-10-21,1,0,2013,10,0
1026,17.7777777778,13.3333333333,8.33333333333,10.5555555556,8.88888888889,7.77777777778,100.0,82.0,64.0,76.2762,76.1746,76.0222,16.0934,8.0467,0.0,33.79614,16.0934,25.0,0.0,5.0,281.0,1,0,0,0,0,2013-10-22,1,0,2013,10,1
1029,16.1111111111,12.7777777778,9.44444444444,10.5555555556,8.88888888889,7.77777777778,93.0,83.0,72.0,76.2,76.0984,75.9714,16.0934,11.26538,3.21868,37.01482,14.48406,28.0,0.0,6.0,282.0,1,0,0,0,0,2013-10-23,1,0,2013,10,2
1053,15.5555555556,13.8888888889,11.6666666667,8.88888888889,8.33333333333,7.22222222222,83.0,73.0,62.0,76.5048,76.327,76.1746,16.0934,16.0934,12.87472,24.1401,14.48406,20.0,0.0,6.0,269.0,0,0,1,0,0,2013-10-24,1,0,2013,10,3
1048,19.4444444444,15.0,10.0,10.0,8.33333333333,7.22222222222,86.0,69.0,52.0,76.6572,76.5302,76.4286,16.0934,16.0934,16.0934,33.79614,14.48406,24.0,0.0,4.0,263.0,0,0,1,0,0,2013-10-25,1,0,2013,10,4
501,21.1111111111,15.5555555556,9.44444444444,11.6666666667,8.88888888889,6.11111111111,89.0,67.0,44.0,76.581,76.4286,76.2508,16.0934,16.0934,16.0934,35.40548,14.48406,25.0,0.0,1.0,292.0,1,0,0,0,0,2013-10-26,0,0,2013,10,5
292,15.5555555556,12.7777777778,10.0,9.44444444444,8.33333333333,7.22222222222,89.0,76.0,62.0,76.3016,75.946,75.4126,16.0934,16.0934,16.0934,69.20162,28.96812,51.0,0.0,6.0,267.0,0,0,0,1,0,2013-10-27,0,0,2013,10,6
